genres;homepage;keywords;original_title;runtime
Action Adventure Fantasy Science Fiction;http://www.avatarmovie.com/;culture clash future space war space colony society;Avatar;162.0
Adventure Fantasy Action;http://disney.go.com/disneypictures/pirates/;ocean drug abuse exotic island east india trading company love of one's life;Pirates of the Caribbean: At World's End;169.0
Action Adventure Crime;http://www.sonypictures.com/movies/spectre/;spy based on novel secret agent sequel mi6;Spectre;148.0
Action Crime Drama Thriller;http://www.thedarkknightrises.com/;dc comics crime fighter terrorist secret identity burglar;The Dark Knight Rises;165.0
Action Adventure Science Fiction;http://movies.disney.com/john-carter;based on novel mars medallion space travel princess;John Carter;132.0
Fantasy Action Adventure;http://www.sonypictures.com/movies/spider-man3/;dual identity amnesia sandstorm love of one's life forgiveness;Spider-Man 3;139.0
Animation Family;http://disney.go.com/disneypictures/tangled/;hostage magic horse fairy tale musical;Tangled;100.0
Action Adventure Science Fiction;http://marvel.com/movies/movie/193/avengers_age_of_ultron;marvel comic sequel superhero based on comic book vision;Avengers: Age of Ultron;141.0
Adventure Fantasy Family;http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html;witch magic broom school of witchcraft wizardry;Harry Potter and the Half-Blood Prince;153.0
Action Adventure Fantasy;http://www.batmanvsupermandawnofjustice.com/;dc comics vigilante superhero based on comic book revenge;Batman v Superman: Dawn of Justice;151.0
Adventure Fantasy Action Science Fiction;http://www.superman.com;saving the world dc comics invulnerability sequel superhero;Superman Returns;154.0
Adventure Action Thriller Crime;http://www.mgm.com/view/movie/234/Quantum-of-Solace/;killing undercover secret agent british secret service;Quantum of Solace;106.0
Adventure Fantasy Action;http://disney.go.com/disneypictures/pirates/;witch fortune teller bondage exotic island monster;Pirates of the Caribbean: Dead Man's Chest;151.0
Action Adventure Western;http://disney.go.com/the-lone-ranger/;texas horse survivor texas ranger partner;The Lone Ranger;149.0
Action Adventure Fantasy Science Fiction;http://www.manofsteel.com/;saving the world dc comics superhero based on comic book superhuman;Man of Steel;143.0
Adventure Family Fantasy;not find;based on novel fictional place brother sister relationship lion human being;The Chronicles of Narnia: Prince Caspian;150.0
Science Fiction Action Adventure;http://marvel.com/avengers_movie/;new york shield marvel comic superhero based on comic book;The Avengers;143.0
Adventure Action Fantasy;http://disney.go.com/pirates/index-on-stranger-tides.html#/video/;sea captain mutiny sword prime minister;Pirates of the Caribbean: On Stranger Tides;136.0
Action Comedy Science Fiction;http://www.sonypictures.com/movies/meninblack3/;time travel time machine alien fictional government agency seeing the future;Men in Black 3;106.0
Action Adventure Fantasy;http://www.thehobbit.com/;corruption elves dwarves orcs middle-earth (tolkien);The Hobbit: The Battle of the Five Armies;144.0
Action Adventure Fantasy;http://www.theamazingspiderman.com;loss of father vigilante serum marvel comic scientific experiment;The Amazing Spider-Man;136.0
Adventure Fantasy;http://www.thehobbit.com/;elves dwarves orcs hobbit dragon;The Hobbit: The Desolation of Smaug;161.0
Adventure Fantasy;http://www.goldencompassmovie.com/index_german.html;england compass experiment lordship uncle;The Golden Compass;113.0
Drama Romance Thriller;http://www.titanicmovie.com;shipwreck iceberg ship panic titanic;Titanic;194.0
Adventure Action Science Fiction;http://marvel.com/captainamericapremiere;civil war war marvel comic sequel superhero;Captain America: Civil War;147.0
Thriller Action Adventure Science Fiction;not find;fight u.s. navy mind reading hong kong soccer;Battleship;131.0
Action Adventure Science Fiction Thriller;http://www.jurassicworld.com/;monster dna tyrannosaurus rex velociraptor island;Jurassic World;124.0
Action Adventure Thriller;http://www.skyfall-movie.com;spy secret agent sociopath killer art gallery;Skyfall;143.0
Action Adventure Fantasy;http://www.sonypictures.com/movies/spider-man2/;dual identity love of one's life pizza boy marvel comic sequel;Spider-Man 2;127.0
Action Adventure Science Fiction;http://marvel.com/ironman3;terrorist war on terror tennessee malibu marvel comic;Iron Man 3;130.0
Family Fantasy Adventure;http://disney.go.com/wonderland/;based on novel fictional place queen fantasy alice in wonderland;Alice in Wonderland;108.0
Adventure Action Science Fiction Thriller;not find;mutant marvel comic based on comic book superhuman beast;X-Men: The Last Stand;104.0
Animation Family;not find;monster dormitory games animation best friend;Monsters University;104.0
Science Fiction Action Adventure;http://www.transformersmovie.com/;egypt sun chaos symbol artifact;Transformers: Revenge of the Fallen;150.0
Science Fiction Action Adventure;http://www.transformersmovie.com;sequel alien transformers giant robot robot;Transformers: Age of Extinction;165.0
Fantasy Adventure Family;http://www.ozthegreatandpowerfulmovie.com;circus witch magic hope illusion;Oz: The Great and Powerful;130.0
Action Adventure Fantasy;http://www.theamazingspiderman.com;obsession marvel comic sequel based on comic book electrocution;The Amazing Spider-Man 2;142.0
Adventure Action Science Fiction;http://disney.go.com/tron/;artificial intelligence secret identity computer program dystopia computer;TRON: Legacy;125.0
Animation Family Adventure Comedy;http://www.disney.go.com/cars/;car race sequel comedy anthropomorphism best friend;Cars 2;106.0
Adventure Action Thriller Science Fiction;http://greenlanternmovie.warnerbros.com/;dc comics transformation superhero alien alien infection;Green Lantern;114.0
Animation Family Comedy;http://disney.go.com/toystory/;hostage college toy barbie animation;Toy Story 3;103.0
Action Science Fiction Thriller;https://www.warnerbros.com/terminator-salvation;saving the world artificial intelligence prophecy san francisco cyborg;Terminator Salvation;115.0
Action;http://www.furious7.com/;car race speed revenge suspense car;Furious 7;137.0
Action Drama Horror Science Fiction Thriller;http://www.worldwarzmovie.com;dystopia apocalypse zombie nuclear weapons multiple perspectives;World War Z;116.0
Action Adventure Fantasy Science Fiction;http://www.x-menmovies.com/;1970s mutant time travel marvel comic based on comic book;X-Men: Days of Future Past;131.0
Action Adventure Science Fiction;not find;spacecraft friendship sequel futuristic space;Star Trek Into Darkness;132.0
Action Family Fantasy;http://jackthegiantkiller.warnerbros.com;based on fairy tale giant;Jack the Giant Slayer;114.0
Drama Romance;not find;based on novel infidelity obsession hope 3d;The Great Gatsby;143.0
Adventure Fantasy Action Romance;http://disney.go.com/disneypictures/princeofpersia;persia sandstorm brother against brother armageddon regent;Prince of Persia: The Sands of Time;116.0
Action Science Fiction Adventure;http://www.pacificrimmovie.com/;dystopia giant robot giant monster apocalypse imax;Pacific Rim;131.0
Action Science Fiction Adventure;http://www.transformersmovie.com/;moon spacecraft traitor bodyguard alien planet;Transformers: Dark of the Moon;154.0
Adventure Action;http://www.indianajones.com/site/index.html;saving the world riddle whip treasure mexico city;Indiana Jones and the Kingdom of the Crystal Skull;122.0
Adventure Animation Family;http://movies.disney.com/the-good-dinosaur;tyrannosaurus rex friends alternate history dinosaur fear;The Good Dinosaur;93.0
Animation Adventure Comedy Family Action;http://disney.go.com/brave/#/home;scotland rebel bravery kingdom archer;Brave;93.0
Action Adventure Science Fiction;http://www.startrekmovie.com/;sequel stranded hatred space opera;Star Trek Beyond;122.0
Animation Family;http://disney.go.com/disneypictures/wall-e/;romantic comedy;WALL·E;98.0
Action Comedy Crime Thriller;not find;ambassador;Rush Hour 3;91.0
Action Adventure Science Fiction;http://www.sonypictures.com/movies/2012;civilization natural disaster end of the world disaster apocalypse;2012;158.0
Animation Drama;http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl;holiday based on novel victorian england money christmas eve;A Christmas Carol;96.0
Science Fiction Fantasy Action Adventure;http://www.jupiterascending.com;jupiter space woman director 3d interspecies romance;Jupiter Ascending;124.0
Action Adventure;http://legendoftarzan.com;africa feral child tarzan jungle animal attack;The Legend of Tarzan;109.0
Adventure Family Fantasy;not find;saving the world witch based on novel brother sister relationship self sacrifice;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;143.0
Science Fiction;http://www.foxmovies.com/movies/x-men-apocalypse;mutant supernatural powers marvel comic superhero based on comic book;X-Men: Apocalypse;144.0
Drama Action Crime Thriller;http://thedarkknight.warnerbros.com/dvdsite/;dc comics crime fighter secret identity scarecrow sadism;The Dark Knight;152.0
Animation Comedy Family Adventure;http://disney.go.com/disneypictures/up/;age difference central and south america balloon animation floating in the air;Up;96.0
Animation Family Adventure Science Fiction;http://www.monstersvsaliens.com/;alien giant robot duringcreditsstinger;Monsters vs Aliens;94.0
Action Science Fiction Adventure;http://www.ironmanmovie.com/;middle east arms dealer malibu marvel comic superhero;Iron Man;126.0
Adventure Drama Family;http://www.hugomovie.com/;library clock film director key toy;Hugo;126.0
Action Adventure Comedy Science Fiction Western;not find;steampunk based on tv series steam locomotive drag;Wild Wild West;106.0
Action Adventure Crime Fantasy Science Fiction;http://www.suicidesquad.com/;dc comics shared universe anti hero secret mission villain;Suicide Squad;123.0
Fantasy Comedy Family;http://www.evanalmighty.com/;father son relationship daily life married couple support father;Evan Almighty;96.0
Action Science Fiction;http://www.edgeoftomorrowmovie.com/;deja vu time warp restart dystopia war;Edge of Tomorrow;113.0
Adventure Action;not find;ocean tattoo mutant water dystopia;Waterworld;135.0
