name;overview;number_of_episodes;number_of_seasons;poster_path;genres
Cory in the House;It's a brand new life for Cory Baxter when his dad, Victor, becomes the personal chef to the President of the United States. Cory's entrepreneurial scheming reaches new heights as he mingles amongst high-powered Washington D.C. elite.;34;2;/kf7aiSIFDP1tkxsqckgWxIyuumw.jpg;Comedy Kids
Notes from the Underbelly;Notes from the Underbelly is an American sitcom that debuted on ABC as a midseason replacement. The series is based upon the novel of the same name by Risa Green, and is produced by Eric and Kim Tannenbaum for Warner Bros. Television. The title is a parody of Dostoevsky's novel Notes from Underground.\n\nOriginally, it was supposed to debut on October 5, 2006, along with Big Day, but ABC made a last-minute change in its schedule by moving Ugly Betty to Thursday, thus replacing both sitcoms. After numerous scheduling changes prior to the shows premiere, the show premiered Thursday, April 12, 2007 at 10:00PM Eastern/9:00PM Central, and moved to its regular Wednesday timeslot at 8:30PM Eastern/7:30PM Central on April 18.\n\nNotes from the Underbelly began its second season on November 26, 2007 in the new timeslot of 9:30PM Eastern/8:30PM Central on Mondays, leading out of fall's second highest rated freshman sitcom, Samantha Who?.\n\nOn May 13, 2008, ABC opted not to renew the series for a third season.\n\nIn Russia, all 23 episodes of the series were shown on NTV.;23;2;/5rDSxJfRRKBc3mR5dPUYBxQnZ2a.jpg;Comedy 
The Black Donnellys;"Meet the Donnelly brothers: Tommy, Jimmy, Kevin and Sean. There is nothing these four Irish brothers wouldn't do to protect each other, and for them that means lying, cheating, stealing and, occasionally, calling the cops. Narrated by wannabe gangster Joey ""Ice Cream,"" this gritty series bears witness to the Donnelly brothers' sudden involvement in organized crime, focusing on how they go from boys to mobsters, and showing how their new life affects their relationships with friends, family and lovers.";13;1;/oo8NjQRqIfDauaxtnvfn8RwZ4Sb.jpg;Drama
Lincoln Heights;Eddie Sutton is a dedicated police officer, his wife Jenn, a devoted nurse, but their most important job is as parents to their three teenage children Cassie, Tay and Lizzie. They're your everyday American family living in the suburbs of Southern California, but the Suttons are thrown for a loop when Eddie decides to move his wife and three kids to the inner-city neighborhood where he grew up.;43;4;/sNhsM92gYftNFagus4aUIfj1iJU.jpg;Drama Family
The Sarah Silverman Program.;Sarah Silverman plays a character named Sarah Silverman, whose absurd daily life unfolds in scripted scenes and songs. With her sister and her gay neighbors by her side, Sarah always manages to fall into unique, unsettling and downright weird predicaments.;32;3;/Av6rU82VY2q9JktXVie6tgGVGxV.jpg;Comedy 
John from Cincinnati;In Imperial Beach, California, the Yosts—a dysfunctional family of surfers—intersect with two new arrivals to the community: a dim-but-wealthy surfing enthusiast and man spurned by the Yosts years ago.;10;1;/u8vyZyjpdoD3JtD5czaqj90ZfTt.jpg;Drama Sci-Fi & Fantasy
Mad Men;Set in 1960-1970 New York, this sexy, stylized and provocative drama follows the lives of the ruthlessly competitive men and women of Madison Avenue advertising.;92;7;/5jOedTeytYzlJZwU66MFjmLHhHX.jpg;Drama 
New Amsterdam;John Amsterdam is a New York homicide detective unlike any other. He is brilliant, mysterious, reckless, and immortal. In 1642 he saved a Native Indian girl during a massacre of her indigenous tribe. In return, the girl cast an ancient spell that conferred immortality upon him. Amsterdam will not age, she told him, until he finds his one true love.;8;1;/iyhUIAQbGA1BysXbZhJm45JY2oi.jpg;Drama Sci-Fi & Fantasy
October Road;When Nick Garrett was 18, he packed up his truck and said goodbye for a summer road trip that turned into 10 years of being away. He has since become a literary celebrity in New York, living off the fame and fortune of his best-selling novel and movie, based on his hometown friends. To the literary world, Nick defined a generation, but to his hometown, he betrayed them by sharing secrets. Now, without inspiration for a new book, Nick returns to his hometown to find that feelings toward him have changed.;20;2;/xDgOxRaPI0iAHaWWyzcSJUqjVbs.jpg;Drama 
Californication;A self-loathing, alcoholic writer attempts to repair his damaged relationships with his daughter and her mother while combating sex addiction, a budding drug problem, and the seeming inability to avoid making bad decisions.;84;7;/jPqOY8cq9KXQN4bD7zJGHCNvcb4.jpg;Comedy Drama
